occ_2digit,low_wfh,pp,occ_2digit_title
1,.091876999,.23115601,Management
5,.02211,.157741,Business/Financial
10,.0073230001,.247951,Computer/Math
13,.080118999,.23568501,Architecture/Engineering
16,.139255,.22753599,Science
20,.13351101,.53955901,Community/Social
21,.0020359999,0,Legal
22,0,.69629502,Education
26,.094137996,.36986899,Entertainment/Media
30,.486848,.95961797,Healthcare tech.
36,.77728599,1,Healthcare supp.
37,.69285297,.70375299,Protection services
40,.51636499,.76651102,Food prep.
42,.68240201,.30142701,Building maintenance
43,.39831001,.88643301,Personal care
47,.17194,.54100901,Sales
50,.113727,.366427,Office/Admin
60,.48694301,.025591999,Farm/Fish/Forest
62,.98493898,.67234498,Construction/Extraction
70,1,.50604397,Install/Maintenance/Repair
77,.74250299,.412065,Production
90,.62348199,.47743699,Transport
95,.72920901,.48072001,Material moving
